paragraph_arr,freq,title,rank,meaning,example,sentence,rating
SYNTAX,23,20,460,The arrangement of words and phrases to create well-formed sentences in a language.,the syntax of English,"Both of these syntaxes are correct, but we have to be careful about choosing one",1
ATTRIBUTES,23,20,460,Regard something as being caused by.,he attributed the firm's success to the efforts of the managing director,"In practice, these characteristics are known as attributes, and the actions will be methods",1
OBSERVED,23,20,460,Notice or perceive (something) and register it as being significant.,she observed that all the chairs were already occupied,"First, supervised learning models conditional probabilities P(Y|X), assuming data is observed, but not tampered with",1
TWITTER,24,19,456,(of a bird) give a call consisting of repeated light tremulous sounds.,sparrows twittered under the eaves,"If you look anywhere on Twitter or in the blogosphere, you are sure to read about some gadget somebody has developed using a Raspberry Pi, Arduino, or just plain ole’ circuit boards and components",1
DOCKER,32,14,448,another term for longshoreman,The dockers refused to load the ship and prevented it from sailing.,Docker is designed to be hardware and platform agnostic,1
PANDEMIC,26,17,442,An outbreak of a pandemic disease.,the results may have been skewed by an influenza pandemic,It's the kind of question we're all asking as we make simple daily decisions during this global pandemic,1
DIVERSE,21,21,441,Showing a great deal of variety; very different.,"subjects as diverse as architecture, language teaching, and the physical sciences",This failure happens because the software has not been adequately machine-trained on enough sets of images from racially-diverse groups,1
UNCERTAINTY,21,21,441,The state of being uncertain.,times of uncertainty and danger,We're not very good at communicating uncertainty,1
HEAVILY,21,21,441,To a great degree; in large amounts.,it was raining heavily,"The downside to relational systems is that these databases are relatively static and biased heavily towards structured data, represent data in non-intuitive and non-natural ways, and incur significant processing overhead and are therefore less performant",1
SUFFICIENT,21,21,441,Enough; adequate.,they had sufficient resources to survive,The current toolbox in the fuzzy front end is not sufficient anymore,1
EXPERIENCED,22,20,440,"Having knowledge or skill in a particular field, especially a profession or job, gained over a period of time.",an experienced social worker,The Principal Data Scientist is the most experienced member of a Data Science team,1
DEPLOYING,22,20,440,Move (troops or equipment) into position for military action.,forces were deployed at strategic locations,"After building, training and deploying your models to production, the task is still not complete unless you have monitoring systems in place",1
ENGAGE,23,19,437,"Occupy, attract, or involve (someone's interest or attention)","he plowed on, trying to outline his plans and engage Sutton's attention","I have been working as a Data Science Professional for last 11 years and had the chance to engage with a number of employers, clients for their data science needs both as an employee and entrepreneur across multiple domains starting with Financial Services, Retail/FMCG/CPG, Telecom, Media and Entertainment, Digital Media, Education and Technology etc",1
VARIANCE,25,17,425,"The fact or quality of being different, divergent, or inconsistent.",her light tone was at variance with her sudden trembling,2) Let me put on my philosopher’s hat: All you do with blending is navigating the bias-variance tradeoff in the context of the limitations of the expressiveness of your current model,1
ATTEMPT,21,20,420,"Make an effort to achieve or complete (something, typically a difficult task or action)",she attempted a comeback in 1989,"When building our model, we attempted not only to use the available information, but also discover the factors which could affect the results",1
DECADE,21,20,420,A period of ten years.,he taught at the university for nearly a decade,"The last decade has seen many areas of research (parallel processing, machine learning, visualization, statistical programming languages) maturing into technology, which had made it possible for one person (perhaps an expert in one discipline) to take a project through the stages of data ingestion and manipulation, statistical modeling, and visualization entirely on his or her own",1
TACKLE,21,20,420,Make determined efforts to deal with (a problem or difficult task),police have launched an initiative to tackle rising crime,This book is about how we can use machine learning to tackle this challenge,1
NUMERICAL,21,20,420,Relating to or expressed as a number or numbers.,the lists are in numerical order,"The most fundamental package, around which the scientific computation stack is built, is NumPy (stands for Numerical Python)",1
IMPOSSIBLE,21,20,420,"Not able to occur, exist, or be done.",a seemingly impossible task,98% of what people say are opinions that are impossible to prove as “true”,1
MINIMIZE,21,20,420,"Reduce (something, especially something unwanted or unpleasant) to the smallest possible amount or degree.",the aim is to minimize costs,"Most systems are engineered to minimize the number of disk seeks and the amount of data scanned, as these operations can add tremendous latency",1
GATHER,21,20,420,Come together; assemble or accumulate.,a crowd gathered in the square,"Each day during the sprint, the team gathers in a standup meeting",1
CONTRAST,22,19,418,The state of being strikingly different from something else in juxtaposition or close association.,"the day began cold and blustery, in contrast to almost two weeks of uninterrupted sunshine","I make mine stand out with lots of visual elements, color contrasts, and a clear message",1
INNOVATION,22,19,418,The action or process of innovating.,innovation is crucial to the continuing success of any organization,With change comes opportunity! The pace of data science innovation continues to quicken,1
OUTLIERS,22,19,418,A person or thing situated away or detached from the main body or system.,a western outlier in the Andaman archipelago,"If there are outliers in the target variable, tree-based algorithms are good but care must be taken to choose the loss function",1
UNSTRUCTURED,23,18,414,Without formal organization or structure.,an unstructured interview,"Unstructured data is data that’s not defined by any schema, model, or structure, and is not organized in a specific way",1
CONSISTS,20,20,400,Be composed or made up of.,the crew consists of five men,"This approach or methodology for testing consists of writing the unit tests to be performed for a piece of code, even before starting to develop",1
SHIFT,21,19,399,"Move or cause to move from one place to another, especially over a small distance.",I shift the weight back to the other leg,"From a research persepctive, I saw 2016 as a year in which the primary focus of the applied machine learning community shifted beyond supervised learning",1
OPTIMAL,21,19,399,Best or most favorable; optimum.,seeking the optimal solution,"Additionally, We can never know the optimal solution from the beginning of a Data Science project, nor should we expect to know the best way to communicate our skills unless we try",1
EMPHASIS,22,18,396,"Special importance, value, or prominence given to something.",they placed great emphasis on the individual's freedom,"In contrast, if you are interviewing for a DS role with a Product Analytics emphasis, there is a lower likelihood of encountering coding questions",1
SPECIALISTS,22,18,396,A person who concentrates primarily on a particular subject or activity; a person highly skilled in a specific and restricted field.,he is a specialist in psychometric testing,It would cater to all the individuals who are specialists in the area and others who are not,1
CONSTRAINTS,22,18,396,A limitation or restriction.,time constraints make it impossible to do everything,"By understanding the environment and constraints that most data scientists work under, it becomes more and more evident that machine learning isn’t actually the innovation that is driving companies using machine learning to be successful",1
CANDIDATE,22,18,396,A person who applies for a job or is nominated for election.,candidates applying for this position should be computer-literate,Interviews are designed to weed out candidates that aren’t qualified to do a job,1
INCREDIBLY,22,18,396,To a great degree; extremely or unusually.,Michele was incredibly brave,"In practice, correct evaluation is incredibly difficult – and I am not even talking in vs",1
CLUSTER,23,17,391,A group of similar things or people positioned or occurring closely together.,clusters of creamy-white flowers,Big Data teaches you to build big data systems using an architecture that takes advantage of clustered hardware along with new tools designed specifically to capture and analyze web-scale data,1
TUTORIAL,23,17,391,A period of instruction given by a university or college tutor to an individual or very small group.,a tutorial on English poetry,"In this tutorial, we will walk through the process of using Snorkel to generate labels for an unlabelled dataset",1
REGARDLESS,20,19,380,Without paying attention to the present situation; despite the prevailing circumstances.,they were determined to carry on regardless,"It aims to provide students with an understanding of the role computation can play in solving problems and to help students, regardless of their major, feel justifiably confident of their ability to write small programs that allow them to accomplish useful goals",1
TRANSFORMING,20,19,380,"Make a marked change in the form, nature, or appearance of.",lasers have transformed cardiac surgery,Feature engineering is the process of extracting features from raw data and transforming them into formats that can be ingested by a machine learning model,1
LATTER,21,18,378,Situated or occurring nearer to the end of something than to the beginning.,the latter half of 1989,"If it’s the latter, welcome to the way most people get their jobs",1
TRANSITION,19,19,361,Undergo or cause to undergo a process or period of transition.,the network ought to be built by the federal government and then transitioned into private industry,"While 2020 has been a challenging year, I was able to use the transition to remote work to explore new tools to expand my data science skill set",1
FLEXIBLE,19,19,361,Capable of bending easily without breaking.,flexible rubber seals,,1
LOSE,19,19,361,Be deprived of or cease to have or retain (something),I've lost my appetite,The web-slinger has been both an Avenger and close confidant of the crew at different times,1
UNLIKE,19,19,361,Different from; not similar to.,a large house not unlike Mr. Shaw's,"Unlike similar systems, RCloud shared notebooks are not static webpages, but rather code that is being executed “live”",1
DERIVED,20,18,360,Obtain something from (a specified source),they derived great comfort from this assurance,"Using a technique I borrowed from Kevin Markham of Data School, here’s how I derived the “fakest” and “realest” words in the corpus",1
ABSOLUTE,20,18,360,A value or principle which is regarded as universally valid or which may be viewed without relation to other things.,good and evil are presented as absolutes,Absolutely,1
SOMEWHERE,20,18,360,In or to some place.,I've seen you somewhere before,"Who knows where I will end up in 2017, but if it involves me mountain biking somewhere other than Mammoth, Lake Tahoe or Southern California, I will consider that a success",1
YOUTUBE,21,17,357,Upload a video of (someone or something) to the video-sharing website YouTube.,Obama's inaugural will be the first to be YouTubed.,"The findings from the analysis were suggestive that Russia, in some way, gamed YouTube’s algorithm to propagate false information on the internet",1
DIMENSIONS,23,15,345,Form or shape (something) to particular measurements.,the seats and backrests are dimensioned to withstand high loads from items such as unsecured luggage,"But if we add one more feature, same data will be represented in 2 dimensions (Fig",1
VITAL,19,18,342,"The body's important internal organs, especially the gut or the genitalia.",he felt the familiar knot contract in his vitals,"Knowing the difference between the practices is vital to approving or rejecting a proposed project, hiring staff with skills needed for a BI or a DS project, and architecting a data management platform that can support both",1
REFLECT,19,18,342,"(of a surface or body) throw back (heat, light, or sound) without absorbing it.",when the sun's rays hit the Earth a lot of the heat is reflected back into space,"Values range from 0 to infinity, and lower values reflect a better-performing model",1
CONSISTENT,19,18,342,"Acting or done in the same way over time, especially so as to be fair or accurate.",the parents are being consistent and firm in their reactions,"Records may indicate that a particular member has only attended yoga sessions, and their attendance has gradually become less consistent",1
INNOVATIVE,19,18,342,"(of a product, idea, etc.) featuring new methods; advanced and original.",innovative designs,"When we talk about innovative services or products, many startups follow a smoother model of development",1
ASPIRING,19,18,342,Directing one's hopes or ambitions toward becoming a specified type of person.,an aspiring artist,"Thus, there are thousands of packages and hundreds of programming functions out there in the data science world! An aspiring data enthusiast need not know all",1
DETECT,20,17,340,Discover or identify the presence or existence of.,cancer may soon be detected in its earliest stages,"My parents need a new doorbell, one that has a camera that always runs, has decent motion detection and sends alerts over multiple different channels of communication",1
DEVIATION,20,17,340,The action of departing from an established course or accepted standard.,deviation from a norm,"If we toss a fair coin 100 million times, we have the expected number of heads (mean) as 50 million, the standard deviation =10,000 (using formula 0",1
RAPID,20,17,340,A fast-flowing and turbulent part of the course of a river.,those of you looking for adventure can shoot the rapids,"Artificial Intelligence is one of the most rapidly growing fields in science and is one of the most sought skills of the past few years, commonly labeled as Data Science",1
SATISFACTION,21,16,336,"Fulfillment of one's wishes, expectations, or needs, or the pleasure derived from this.",he smiled with satisfaction,"Just like with any other feature, it needs to be clear from the beginning how customer satisfaction will be measured",1
LEARNERS,21,16,336,A person who is learning a subject or skill.,a fast learner,The latest edition of the book updates all the included code examples with their Python 3 counterpart to offer learners the most up-to-date learning experience,1
ENSEMBLE,22,15,330,"A group of musicians, actors, or dancers who perform together.",a Bulgarian folk ensemble,"So if you have different models built for same data and same response variable, you can use one of the above methods to build ensemble model",1
CHURN,22,15,330,Agitate or turn (milk or cream) in a machine in order to produce butter.,the cream is ripened before it is churned,Your team is tasked with developing a customer churn model,1
STATISTICIAN,22,15,330,An expert in the preparation and analysis of statistics.,At Cambridge more statisticians were taken on within Mathematics and a Statistical Laboratory was set up within the Mathematics Faculty in 1949.,"The data are notoriously noisy, and furthermore tend to go through many stages of preprocessing before the statisticians even get to see them",1
WIDER,18,18,324,To the full extent.,his eyes opened wide,"In the error distribution plot, we can see how it became “wider,” as we have more predictions with a high error",1
AUTOMATE,18,18,324,Convert (a process or facility) to largely automatic operation.,industry is investing in automating production,"In this environment, data scientist teams benefit from easier sharing of scripts and data feeds, experiments, annotations and automated recommendations which are well beyond what traditional individual or locally based development environments provide",1
PARALLEL,19,17,323,"(of something extending in a line) be side by side with (something extending in a line), always keeping the same distance.",a big concrete gutter that paralleled the road,"The last decade has seen many areas of research (parallel processing, machine learning, visualization, statistical programming languages) maturing into technology, which had made it possible for one person (perhaps an expert in one discipline) to take a project through the stages of data ingestion and manipulation, statistical modeling, and visualization entirely on his or her own",1
ANALYZED,19,17,323,"Examine (something) methodically and in detail, typically in order to explain and interpret it.",we need to analyse our results more clearly,Often data is also mined in order to be analyzed visually,1
BIASED,19,17,323,Unfairly prejudiced for or against someone or something.,we will not tolerate this biased media coverage,"The downside to relational systems is that these databases are relatively static and biased heavily towards structured data, represent data in non-intuitive and non-natural ways, and incur significant processing overhead and are therefore less performant",1
ARGUE,19,17,323,"Give reasons or cite evidence in support of an idea, action, or theory, typically with the aim of persuading others to share one's view.","“It stands to reason,” she argued",You may argue that it is a highly challenging task to come up with a new project idea,1
EASE,19,17,323,"Make (something unpleasant, painful, or intense) less serious or severe.",a huge road-building program to ease congestion,"I only visited 3 garages in my example, but you could imagine that accuracy would likely increase if I had visited tens or hundreds of garages, especially if my car's problem was one of a very complex nature",1
BEGINNERS,19,17,323,A person just starting to learn a skill or take part in an activity.,a beginner's guide,"Python is a popular choice for beginners, yet still powerful enough to back some of the world’s most popular products and applications",1
WAREHOUSE,20,16,320,Store (goods) in a warehouse.,"It is almost as expensive to hold, move and warehouse things as to produce them.","In the traditional data warehouse environment, comprehensive data quality assessment and reporting was at least possible (if not, ideal)",1
TRANSFORMATIONS,20,16,320,"A marked change in form, nature, or appearance.",British society underwent a radical transformation,"There are fairly well-functioning machine learning algorithms, which account for potential phonetic transformations, spelling mistakes and allow for a clustering of those first and surnames",1
METHODOLOGY,20,16,320,A system of methods used in a particular area of study or activity.,a methodology for investigating the concept of focal points,"That's why we had different people in the R Epidemics Consortium: the operational people, the field people, the people who are advanced in methodology, the programmers, and the more policy-oriented people",1
CLUSTERING,18,17,306,Form a cluster or clusters.,the children clustered round her skirts,"There are fairly well-functioning machine learning algorithms, which account for potential phonetic transformations, spelling mistakes and allow for a clustering of those first and surnames",1
EVERYWHERE,18,17,306,In or to all places.,I've looked everywhere,"Data is everywhere, and is found in huge and exponentially increasing quantities",1
TENDS,18,17,306,Regularly or frequently behave in a particular way or have a certain characteristic.,written language tends to be formal,"With SQL, querying data tends to require you to do so across multiple tables",1
BEGINNER,18,17,306,A person just starting to learn a skill or take part in an activity.,a beginner's guide,This post presents a pathway to achieving success in Kaggle competitions as a beginner,1
DECADES,18,17,306,A period of ten years.,he taught at the university for nearly a decade,"In the past couple of decades, innovation in statistics and machine learning has been increasing at a rapid pace and we are now able to do things unimaginable when I began my career",1
CONFUSION,18,17,306,Lack of understanding; uncertainty.,there seems to be some confusion about which system does what,"There is also this: though machine learning, artificial intelligence, deep learning, computer vision and natural language processing (along with a variety of other applications of these ""intelligent"" technologies) are all separate and distinct fields and application domains, even practitioners and researchers have to admit that there is some continually evolving ""concept creep"" going on any more, beyond the regular ol' confusion and confounding that has always taken place",1
LAUNCH,18,17,306,Set (a boat) in motion by pushing it or allowing it to roll into the water.,the town's lifeboat was launched to rescue the fishermen,"Many data science projects are launched with good intentions, but fail to deliver because the correct process is not understood",1
PRIMARILY,18,17,306,For the most part; mainly.,around 80 percent of personal computers are used primarily for word processing,"Pandas is primarily used for data analysis, and it is one of the most commonly used Python libraries",1
AFFECT,18,17,306,Have an effect on; make a difference to.,the dampness began to affect my health,"When building our model, we attempted not only to use the available information, but also discover the factors which could affect the results",1
BESIDES,19,16,304,In addition to; apart from.,I have no other family besides my parents,"Besides having support from many top machine learning frameworks, Python is good fit for me because I have a computer science background",1
CONFIDENT,19,16,304,A confidant.,"His parents were his closest confidents and friends in a sense, but they were still his parents.","Springboard says the reason it’s confident it can live up to the promise is its world-class mentor network of data scientists, who have worked at companies like Facebook, Instacart, Jawbone and more",1
BATCH,19,16,304,Arrange (things) in sets or groups.,I had nothing to do but batch the reports,"Online transaction processing systems (OLTP), along with data warehousing, typically use mainframe systems for batch processing",1
AGILE,20,15,300,Able to move quickly and easily.,Ruth was as agile as a monkey,"Third, a new generation of agile companies have entered the markets",1
OPTIMIZED,17,17,289,Make the best or most effective use of (a situation or resource),we manage our time so that we optimize our productivity,Intel’s optimized Python packages deliver quick repeatable results compared to standard Python packages,1
UNDERSTOOD,17,17,289,"Perceive the intended meaning of (words, a language, or a speaker)",he didn't understand a word I said,"Many data science projects are launched with good intentions, but fail to deliver because the correct process is not understood",1
MAXIMIZE,17,17,289,Make as large or great as possible.,the company was aiming to maximize profits,"To maximize each team’s autonomy and reduce dependencies on tools, our CI/CD process follows a decentralized approach",1
TRICKY,17,17,289,"(of a task, problem, or situation) requiring care and skill because difficult or awkward.",applying eyeliner can be a tricky business,Being the only data scientist at a company is tricky,1
CLOSER,18,16,288,"The last part of a performance, collection, or series.",the perfect closer to the album,"Predictive analytics? Maybe the closest fit, but this term seems closer to the business world at this point than to the world of science",1
PRECISION,18,16,288,"The quality, condition, or fact of being exact and accurate.",the deal was planned and executed with military precision,The new model was able to predict Kubeflow specific labels with average precision of 72% and average recall of 50%,1
PERCEPTION,18,16,288,"The ability to see, hear, or become aware of something through the senses.",the normal limits to human perception,"As you may have noticed, however, AI has a perception problem",1
PURSUE,19,15,285,Follow (someone or something) in order to catch or attack them.,the officer pursued the van,"In the absence of a relationship with a subject matter expert, how should product leaders still pursue meaningful data science-driven features for their applications? I advocate for an extremely practical approach — as with most other product planning processes, get ready for a number of trade-offs",1
EMBRACE,19,15,285,"Hold (someone) closely in one's arms, especially as a sign of affection.",Aunt Sophie embraced her warmly,The first and foremost thing to implement an effective enterprise strategy with regards to Data Science (irrespective whether your business model is B2B or B2C) is to embrace change,1
BAYESIAN,19,15,285,A follower of statistical methods based on Bayes' theorem.,there is no general agreement among Bayesians about how to resolve this problem,"The Bayesian method is the natural approach to inference, yet it is hidden from readers behind chapters of slow, mathematical analysis",1
MOOCS,19,15,285,A course of study made available over the internet without charge to a very large number of people.,anyone who decides to take a MOOC simply logs on to the website and signs up,"MOOCs, for the most part, are free online courses available for anyone to enroll",1
MATRICES,20,14,280,"The cultural, social, or political environment in which something develops.",Oxbridge was the matrix of the ideology,"In any event, this type of question tests your understanding of matrix computation and how to deal with vectors and matrices",1
VARIATION,21,13,273,"A change or difference in condition, amount, or level, typically with certain limits.",regional variations in house prices,"When we first thought about a tagline for lakeFS, our recently released OSS project, we instinctively used terms such as “Data versioning”, “Manage data the way you manage code”, “It’s git for data”, and any random variation of the three that is a grammatically correct sentence in english",1
EXCITED,17,16,272,Very enthusiastic and eager.,they were excited about the prospect,"Those are all fine attributes in a partner, but most of us would be pretty excited about finding one or two of them",1
WHENEVER,17,16,272,"Used for emphasis instead of “when” in questions, typically expressing surprise or confusion.",whenever shall we get there?,I’ve heard this one so many times with Kaggle being the first name that comes to mind whenever Data Science competitions are mentioned,1
PROVED,17,16,272,Demonstrate the truth or existence of (something) by evidence or argument.,the concept is difficult to prove,"To ensure their analytic results will improve business results, analytic teams need to connect the metrics they are focused on to specific decision-making that can be improved with analytics",1
INTUITIVE,17,16,272,Using or based on what one feels to be true even without conscious reasoning; instinctive.,I had an intuitive conviction that there was something unsound in him,"The downside to relational systems is that these databases are relatively static and biased heavily towards structured data, represent data in non-intuitive and non-natural ways, and incur significant processing overhead and are therefore less performant",1
RECRUITERS,18,15,270,"A person whose job is to enlist or enrol people as employees, in the armed forces, or as members of an organization.",a recruiter will schedule you for an interview,"After receiving verbal offers, the next step was to work with recruiters to finalize the numbers",1
SPREAD,20,13,260,"Open out (something) so as to extend its surface area, width, or length.",I spread a towel on the sand and sat down,Structured data refers to data that is stored as a model (or is defined by a structure or schema) in a relational database or spreadsheet,1
COLLEAGUES,20,13,260,A person with whom one works in a profession or business.,Spent part of today writing a couple of spoof company memos for a select group of colleagues.,"As the first data scientist, you can realistically expect that your non-technical colleagues will not understand your work and all the effort that goes into it",1
SEGMENTS,16,16,256,Divide (something) into separate parts or sections.,the unemployed are segmented into two groups,"In other cases, it would make sense to search for segments of low performance proactively",1
SURPRISE,16,16,256,(of something unexpected) cause (someone) to feel mild astonishment or shock.,I was surprised at his statement,I have been somewhat surprised at how little truly introductory information exists on machine learning and data science topics,1
BUNCH,16,16,256,Collect or fasten into a compact group.,she bunched the carnations together,"You’ve been taking MOOCs and reading a bunch of textbooks, but now what do you do? Getting a job in data science can seem daunting",1
GRASP,16,16,256,Seize and hold firmly.,she grasped the bottle,"Finally, a solid grasp of probabilistic reasoning and understanding of these methods is also critical",1
ACQUISITION,16,16,256,"An asset or object bought or obtained, typically by a library or museum.",the legacy will be used for new acquisitions,"These apps need to employ data science techniques like data acquisition, cleansing and masking to work correctly",1
CREATOR,16,16,256,A person or thing that brings something into existence.,James Bond's creator Ian Fleming,"Developed by the Scala’s creator company, Akka is a concurrent framework for building distributed applications on a JVM",1
COLLABORATIVE,17,15,255,Produced or conducted by two or more parties working together.,collaborative research,"In RCloud, every notebook is named by a URL, so converting collaborative work into reports and recommendations is accomplished by sharing (e",2
ACCURATELY,17,15,255,In a way that is correct in all details; exactly.,we are simply unable to predict long-term trends accurately,"Data science can help nonprofits accurately measure of the performance of their activities, and help them tailor their processes towards better results",2
SUPPOSE,17,15,255,Assume that something is the case on the basis of evidence or probability but without proof or certain knowledge.,I suppose I got there about half past eleven,"Suppose you’re given two binary strings, write a function adds them together without using any builtin string-to-int conversion or parsing tools",2
OPPOSED,17,15,255,Eager to prevent or put an end to; disapproving of or disagreeing with.,opposed to the construction of nuclear power plants,"First, and most importantly to this discussion, outlier analysis is not its own method of mining as are the other problems above, but instead can actually use the above methods for its own goals (it's an end, as opposed to a means)",2
EQUATIONS,18,14,252,A statement that the values of two mathematical expressions are equal (indicated by the sign =).,"It also contains continued fractions, quadratic equations, sums of power series and a table of sines.","Jupyter Notebook provides a great platform to produce human-readable documents containing code, equations, analysis, and their descriptions",2
ORGANIZATIONAL,18,14,252,Relating to an organization or the way it is set up.,organizational heads,"Finally, there is the organizational change component of the project",2
ADAPT,18,14,252,Make (something) suitable for a new use or purpose; modify.,hospitals have had to be adapted for modern medical practice,"The world of data science, big data and IoT (Internet of Things) is continuing to grow and adapt at an astronomical rate",2
GUIDANCE,16,15,240,"Advice or information aimed at resolving a problem or difficulty, especially as given by someone in authority.",he looked to his father for inspiration and guidance,,2
MANIPULATE,16,15,240,"Handle or control (a tool, mechanism, etc.), typically in a skillful manner.",he manipulated the dials of the set,Being able to manipulate matrices containing data is an essential skill for data scientists,2
LUCKILY,16,15,240,It is fortunate that.,luckily they didn't recognize me,"Luckily, you are not alone at this",2
CALCULUS,16,15,240,"The branch of mathematics that deals with the finding and properties of derivatives and integrals of functions, by methods originally based on the summation of infinitesimal differences. The two main types are differential calculus and integral calculus.",By integrating the function using calculus we can compare the sum of the series with the integral of the function and draw conclusions from this.,Most books on Bayesian statistics use mathematical notation and present ideas in terms of mathematical concepts like calculus,2
LOGIC,16,15,240,Reasoning conducted or assessed according to strict principles of validity.,experience is a better guide to this than deductive logic,Analytic teams must also remember that decision-making requires an analytic model to be wrapped with decision-making logic to make it actionable,2
CONVERT,16,15,240,"Cause to change in form, character, or function.",production processes that converted raw material into useful forms,"In RCloud, every notebook is named by a URL, so converting collaborative work into reports and recommendations is accomplished by sharing (e",2
DOUBT,16,15,240,Feel uncertain about.,I doubt my ability to do the job,"Data Science is no doubt the ""sexiest"" career path of the 21st century, made up of people with strong intellectual curiosity and technical expertise to dig out valuable insights from humongous volumes of data",2
VARY,16,15,240,"Differ in size, amount, degree, or nature from something else of the same general class.",the properties vary in price,"We have never before collected as much varying data as we do today, nor have we needed to handle it as quickly",2
DEMONSTRATE,16,15,240,"Give a practical exhibition and explanation of (how a machine, skill, or craft works or is performed)",computerized design methods will be demonstrated,Python Machine Learning gives you access to the world of predictive analytics and demonstrates why Python is one of the world’s leading data science languages,2
TRANSFORMED,16,15,240,"Make a marked change in the form, nature, or appearance of.",lasers have transformed cardiac surgery,"If we have categorical data, then we need to create dummy variables, so that's why I transformed the categorical variables into dummy variables",2
SCENARIOS,16,15,240,"A written outline of a film, novel, or stage work giving details of the plot and individual scenes.",the scenarios for four short stories,"Now let’s assume in both scenarios your team is 9 FTEs, but in the renting scenario, all 9 are dedicated to Data Science & ML",2
CORRELATED,17,14,238,"Have a mutual relationship or connection, in which one thing affects or depends on another.",the study found that success in the educational system correlates highly with class,Large datasets with hundreds or thousands of features often lead to redundancy especially when features are correlated with each other,2
DERIVE,17,14,238,Obtain something from (a specified source),they derived great comfort from this assurance,"Using a technique I borrowed from Kevin Markham of Data School, here’s how I derived the “fakest” and “realest” words in the corpus",2
OURSELVES,17,14,238,Used as the object of a verb or preposition when this is the same as the subject of the clause and the subject is the speaker and one or more other people considered together.,for this we can only blame ourselves,"To understand our findings, we have to remind ourselves that Snorkel’s label model learns to predict the accuracy and correlations of the labelling functions based on agreements and disagreements amongst each other",2
EXTENT,17,14,238,The area covered by something.,an enclosure ten acres in extent,"Nowadays, to hire an Android developer or iOS developer depends upon the kind of tools and techniques that they use to an extent",2
RESPOND,17,14,238,Say something in reply.,she could not get Robert to respond to her words,"Forrester also found that because platforms unify technology and infrastructure, they help address tool sprawl — the number one business challenge cited by respondents",2
LIES,15,15,225,(of a person or animal) be in or assume a horizontal or resting position on a supporting surface.,the body lay face downwards on the grass,"Here, too, the usual job-interview advice applies: Be honest about where you can add a lot of value, but don’t be shy about where you expect to get a little bit of help from your teammates",2
MISTAKE,15,15,225,Be wrong about.,because I was inexperienced I mistook the nature of our relationship,"An easy mistake for data science newcomers to make is to underestimate the complexity of the algorithm landscape, thinking that a decision tree is a decision tree, a neural network is a neural network, etc",2
HARDER,15,15,225,With a great deal of effort.,they work hard at school,"However, there are aspects of the Data Science world that make it harder to go Agile",2
DIVIDED,15,15,225,Split into parts; separated.,"the deputy came back, carrying a divided metal plate and a cup",Parallelism is a good idea when the task can be divided into sub-tasks that can be executed independent of each other without communication or shared resources,2
MEANT,15,15,225,Intend to convey or refer to (a particular thing); signify.,I don't know what you mean,This article is meant to give the non-data scientist a solid overview of the many concepts and terms behind data science and big data,2
TALENT,15,15,225,Natural aptitude or skill.,he possesses more talent than any other player,"He is currently the Advanced Analytics Practice Lead at Abzooba, wherein apart from project execution he also engages in leading & growing the Practice by nurturing talent, building thought leadership, and enabling scalable processes",2
SUCCEED,15,15,225,Achieve the desired aim or result.,keep trying and you will eventually succeed,Data has the value of gold in today’s times and can help businesses succeed in their efforts,2
NEITHER,15,15,225,Used before the first of two (or occasionally more) alternatives that are being specified (the others being introduced by “nor”) to indicate that they are each untrue or each do not happen.,I am neither a liberal nor a conservative,,2
MEDIAN,15,15,225,The median value of a range of values.,acreages ranged from one to fifty-two with a median of twenty-four,"The company tracked 50 of its graduates and saw that all 50 got a job within six months -- with a median increase of $18,000 in first-year salary",2
LOGICAL,15,15,225,Of or according to the rules of logic or formal argument.,a logical impossibility,"Data science is about logical thinking, generating more ideas and creativity in solving the problems",2
CAPTURED,16,14,224,Take into one's possession or control by force.,the island was captured by Australian forces in 1914,"In other words, put effort into understanding how the data is captured, understand exactly how each data field is defined, and understand when data is missing",2
AZURE,16,14,224,A bright blue color.,a flash of azure drew my eye to a kingfisher,"Cazena is available on Microsoft Azure and AWS, and includes everything in one service: storage, compute, data movers, security and management",2
WORKFLOWS,16,14,224,"The sequence of industrial, administrative, or other processes through which a piece of work passes from initiation to completion.",Information storage operations can involve complex or repetitive user tasks and system processes - in workflows that migrate across multiple platforms.,"For newcomers, it’s a place to learn the current data landscape and get your bearings; for practitioners and managers, it’s a chance to meet other experts and explore new workflows and techniques",2
ANYWHERE,16,14,224,In or to any place.,he couldn't be found anywhere,"If you look anywhere on Twitter or in the blogosphere, you are sure to read about some gadget somebody has developed using a Raspberry Pi, Arduino, or just plain ole’ circuit boards and components",2
PREPROCESSING,16,14,224,Subject (data) to preliminary processing.,some preprocessing of the concordances is a desirable prerequisite to editing,"The data are notoriously noisy, and furthermore tend to go through many stages of preprocessing before the statisticians even get to see them",2
TRANSACTIONS,16,14,224,An instance of buying or selling something.,in an ordinary commercial transaction a delivery date is essential,NoSql databases are therefore largely used for high-scale transactions,2
ABSOLUTELY,16,14,224,"With no qualification, restriction, or limitation; totally.",she trusted him absolutely,Absolutely,2
SENTENCE,18,12,216,Declare the punishment decided for (an offender),ten army officers were sentenced to death,"When we first thought about a tagline for lakeFS, our recently released OSS project, we instinctively used terms such as “Data versioning”, “Manage data the way you manage code”, “It’s git for data”, and any random variation of the three that is a grammatically correct sentence in english",2
